"1.NP", , ,"0/-/-","","","","","Auto"
 , ,"Zachod tlacitko 1","0/3/39","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 2","0/3/40","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 3","0/3/41","","","","DPST-1-1","Auto"
 , ,"Zachod tlacitko 4","0/3/42","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 1","0/3/52","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 2","0/3/55","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 3","0/3/58","","","","DPST-1-1","Auto"
 , ,"Garaz tlacitko 4","0/3/61","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 1","0/3/65","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 2","0/3/68","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 3","0/3/71","","","","DPST-1-1","Auto"
 , ,"Technicka tlacitko 4","0/3/74","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 1","0/3/78","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 2","0/3/81","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 3","0/3/84","","","","DPST-1-1","Auto"
 , ,"Loznice tlacitko 4","0/3/87","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi tlacitko 1","0/3/91","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi tlacitko 2","0/3/94","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi tlacitko 3","0/3/97","","","","DPST-1-1","Auto"
 , ,"Koupelna_prizemi tlacitko 4","0/3/100","","","","DPST-1-1","Auto"
 ,"Ostatni", ,"0/4/-","","","","","Auto"
 , ,"Prizemi DenNoc ","0/4/0","","","","DPST-1-2","Auto"
 , ,"Kuchyne tlacitko 1 LED","0/4/16","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 2 LED","0/4/17","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 3 LED","0/4/18","","","","DPST-5-5","Auto"
 , ,"Kuchyne tlacitko 4 LED","0/4/19","","","","DPST-5-5","Auto"
 , ,"Chodba_prizemi tlacitko 1 LED","0/4/29","","","","DPST-5-5","Auto"
 , ,"Chodba_prizemi tlacitko 2 LED","0/4/30","","","","DPST-5-5","Auto"
 , ,"Chodba_prizemi tlacitko 3 LED","0/4/31","","","","DPST-5-5","Auto"
 , ,"Chodba_prizemi tlacitko 4 LED","0/4/32","","","","DPST-5-5","Auto"
 , ,"Obyvak tlacitko 4 LED","0/4/34","","","","DPST-5-5","Auto"
 , ,"Obyvak tlacitko 3 LED","0/4/35","","","","DPST-5-5","Auto"
 , ,"Obyvak tlacitko 2 LED","0/4/36","","","","DPST-5-5","Auto"
 , ,"Obyvak tlacitko 1 LED","0/4/37","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 1 LED","0/4/47","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 2 LED","0/4/48","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 3 LED","0/4/49","","","","DPST-5-5","Auto"
 , ,"Zachod tlacitko 4 LED","0/4/50","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 1 LED","0/4/54","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 2 LED","0/4/57","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 3 LED","0/4/60","","","","DPST-5-5","Auto"
 , ,"Garaz tlacitko 4 LED","0/4/63","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 1 LED","0/4/67","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 2 LED","0/4/70","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 3 LED","0/4/73","","","","DPST-5-5","Auto"
 , ,"Technicka tlacitko 4 LED","0/4/76","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 1 LED","0/4/80","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 2 LED","0/4/83","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 3 LED","0/4/86","","","","DPST-5-5","Auto"
 , ,"Loznice tlacitko 4 LED","0/4/89","","","","DPST-5-5","Auto"
 , ,"Koupelna_prizemi tlacitko 1 LED","0/4/93","","","","DPST-5-5","Auto"
 , ,"Koupelna_prizemi tlacitko 2 LED","0/4/96","","","","DPST-5-5","Auto"
 , ,"Koupelna_prizemi tlacitko 3 LED","0/4/99","","","","DPST-5-5","Auto"
 , ,"Koupelna_prizemi tlacitko 4 LED","0/4/102","","","","DPST-5-5","Auto"
"2.NP", , ,"1/-/-","","","","","Auto"
 ,"Prepinace", ,"1/0/-","","","","","Auto"
 , ,"Chodba_patro PIR cervena","1/0/0","","","","DPST-1-1","Auto"
 , ,"Kancelar PIR cervena","1/0/1","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro PIR cervena","1/0/2","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih PIR cervena","1/0/3","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever PIR cervena","1/0/4","","","","DPST-1-1","Auto"
 , ,"Chodba_patro PIR zelena","1/0/5","","","","DPST-1-1","Auto"
 , ,"Kancelar PIR bila","1/0/6","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro PIR bila","1/0/7","","","","DPST-1-1","Auto"
 , ,"Pokoj_jih PIR bila","1/0/8","","","","DPST-1-1","Auto"
 , ,"Pokoj_sever PIR bila","1/0/9","","","","DPST-1-1","Auto"
 , ,"Chodba_patro PIR bila","1/0/10","","","","DPST-1-1","Auto"
 , ,"Kancelar PIR zelena","1/0/11","","","","DPST-1-1","Auto"
 , ,"Koupelna_patro PIR zelena","1/0/12","","","","DPST-1-1","Auto"
