primary,secondary,name,address,ahoj
 , ,"Koupelna tlacitko 3","0/3/97","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 3 dlouhy","0/3/98","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 3 LED","0/3/99","","","","DPST-5-5","Auto"
 , ,"Koupelna tlacitko 4","0/3/100","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 4 dlouhy","0/3/101","","","","DPST-1-1","Auto"
 , ,"Koupelna tlacitko 4 LED","0/3/102","","","","DPST-5-5","Auto"
 , ,"Koupelna tlacitko blokace","0/3/103","","","","DPST-1-1","Auto"
 , ,"obyvak_4_blokace","0/3/104","","","","DPST-1-1","Auto"
 ,"Ostatni", ,"0/4/-","","","","","Auto"
 , ,"Den nebo Noc","0/4/0","","","","DPST-1-2","Auto"
